Model,Predictors,elpd_diff,elpd_waic,se_elpd_waic,p_waic,se_p_waic,waic,se_waic,weight
t1,T1,0,-102.6,7.2,2.7,0.5,205.2,14.4,0.361
t1_slope,T1 + Processing,-0.1,-102.7,7.4,3.8,0.7,205.3,14.9,0.337
t1_input,T1 + Input,-1,-103.6,7.2,3.6,0.6,207.2,14.5,0.132
t1_input_slope,T1 + Input + Processing,-1.1,-103.7,7.4,4.7,0.8,207.3,14.8,0.122
t1_input_x_slope,T1 + Input + Processing + (Input x Processing),-2,-104.6,7.4,5.8,1.1,209.2,14.8,0.047
input_slope,Input + Processing,-39,-141.6,7.3,4,0.7,283.1,14.6,0
input_x_slope,Input + Processing + (Input x Processing),-39.9,-142.4,7.2,4.8,0.8,284.9,14.5,0
slope,Processing,-39.9,-142.4,7.3,3.1,0.6,284.9,14.7,0
input,Input,-50.4,-153,7.3,2.8,0.5,305.9,14.6,0
