Subj,HasProtocol1Data,HasProtocol2Data,HasEyetracking
658L,FALSE,TRUE,TRUE
659L,FALSE,TRUE,TRUE
660L,FALSE,TRUE,TRUE
661L,FALSE,TRUE,TRUE
664L,FALSE,TRUE,TRUE
665L,FALSE,TRUE,TRUE
666L,FALSE,TRUE,TRUE
667L,FALSE,TRUE,TRUE
668L,FALSE,TRUE,TRUE
669L,FALSE,TRUE,TRUE
670L,FALSE,TRUE,TRUE
671L,FALSE,TRUE,TRUE
673L,FALSE,TRUE,TRUE
674L,FALSE,TRUE,TRUE
675L,FALSE,TRUE,TRUE
676L,FALSE,TRUE,TRUE
677L,FALSE,TRUE,TRUE
678L,FALSE,TRUE,TRUE
679L,FALSE,TRUE,TRUE
680L,FALSE,TRUE,TRUE
681L,FALSE,TRUE,TRUE
682L,FALSE,TRUE,TRUE
683L,FALSE,TRUE,TRUE
684L,FALSE,TRUE,TRUE
685L,FALSE,TRUE,TRUE
686L,FALSE,TRUE,TRUE
687L,FALSE,TRUE,TRUE
688L,FALSE,TRUE,TRUE
689L,FALSE,TRUE,TRUE
